state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,All
Andhra Pradesh,13.6,12.8,27.6,11.399999999999999,14.2,26.3,32.15,31.049999999999997,20.25,17.049999999999997,20.4,24.0,23.0,39.0,32.0,28.6,30.3,29.9,26.5,21.2,13.0,22.6,13.0,16.0,17.0,19.0,19.7
Arunachal Pradesh,22.349999999999998,14.9,32.75,20.475,16.625,19.3,19.375,18.825,28.116666666666667,26.83333333333333,30.724999999999998,21.4,20.55,39.0,22.9,22.65,22.725,21.6,19.65,17.75,14.0,24.066666666666666,13.4,15.5,5.0,5.0,5.0
Assam,31.099999999999994,17.0,37.9,29.55,19.05,12.3,6.6,6.6,35.983333333333334,36.61666666666666,41.05,18.8,18.1,39.0,13.8,16.7,15.15,13.3,12.8,14.3,15.0,25.533333333333335,13.8,15.0,14.0,14.0,14.0
Bihar,39.849999999999994,47.9,38.5,45.2,47.5,42.45,44.9,47.9,43.85,46.4,15.0,21.5,50.6,39.0,20.0,33.0,29.7,34.2,37.0,22.7,30.0,27.0,27.0,23.0,17.0,18.0,33.7
Chandigarh,10.55,6.1,6.1,28.8,22.85,32.4,18.35,4.1,5.65,14.8,14.8,14.8,9.55,39.0,28.0,12.0,12.2,13.8,14.25,13.8,14.0,14.1,19.5,31.0,20.0,22.0,16.2
Chhattisgarh,8.450000000000001,5.833333333333333,6.15,6.4,8.5,19.95,22.8625,21.9,21.2,17.9,18.200000000000003,20.1,20.1,39.0,20.7,25.3,26.4,25.3,22.4,22.0,21.0,21.0,20.0,20.0,21.0,21.0,21.3
Dadra & Nagar Haveli,6.3500000000000005,5.566666666666666,6.2,7.6,7.55,7.5,27.375,25.53333333333333,25.133333333333333,22.3,23.883333333333336,24.933333333333334,25.483333333333334,39.0,36.13333333333333,31.533333333333335,32.699999999999996,18.9,17.0,17.4,17.0,19.4,19.9,43.0,32.0,26.0,18.0
Daman & Diu,4.25,5.3,7.9,8.05,5.7,4.3,31.8875,29.166666666666664,29.066666666666666,26.700000000000003,29.56666666666667,29.766666666666666,30.866666666666667,39.0,51.56666666666666,37.766666666666666,39.0,18.7,17.05,18.0,17.0,19.4,20.0,66.0,43.0,24.5,17.6
Delhi,24.299999999999997,29.6,29.45,32.1,33.6,38.2,36.4,32.8,33.0,31.1,35.25,34.6,36.25,39.0,67.0,44.0,45.3,39.9,52.0,50.2,18.0,53.0,83.0,89.0,54.0,53.0,48.0
Goa,9.05,7.95,6.1,32.8,20.200000000000003,30.1,23.55,25.25,27.0,22.2,28.85,27.7,38.5,0.0,8.8,10.0,7.5,11.0,14.25,12.95,19.0,15.0,17.0,12.0,7.0,9.0,11.0
Gujarat,20.200000000000003,21.4,30.8,16.8,17.2,18.6,17.75,16.1,20.8,37.2,22.75,25.65,28.6,0.0,27.72,26.8,25.5,25.0,21.9,23.6,22.0,24.0,26.0,18.0,20.0,21.0,22.9
Haryana,9.75,10.0,7.9,11.4,14.45,15.15,14.55,16.7,16.0,11.2,11.05,12.6,23.15,0.0,21.7,19.2,12.95,6.9,7.7,28.5,23.0,21.0,29.0,24.0,23.5,68.0,20.0
Himachal Pradesh,14.1,12.7,8.149999999999999,15.05,17.15,7.8,10.0,10.3,9.4,7.05,6.9,12.75,14.65,0.0,13.0,14.3,14.2,12.7,12.0,14.0,14.0,12.0,13.0,13.0,13.0,13.0,13.0
Jammu & Kashmir,12.6,12.366666666666665,12.2,18.7,19.85,15.133333333333333,16.6,14.650000000000002,15.0,13.666666666666666,14.5,17.666666666666668,18.666666666666668,0.0,33.5,32.2,33.45,31.325,29.05,12.1,14.0,12.0,12.5,4.0,13.0,17.0,12.8
