state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,All
Andhra Pradesh,5.6,8.25,12.4,6.0,8.7,14.1,19.5,18.4,10.149999999999999,13.350000000000001,12.25,12.5,6.7,9.0,8.0,5.0,5.7,5.5,5.2,4.9,4.0,4.2,5.0,5.0,5.0,6.0,5.0
Arunachal Pradesh,13.416666666666664,8.975,12.5,4.725,6.875,7.3,11.1,10.549999999999999,20.666666666666664,26.6,9.3,8.15,4.85,9.0,5.6,4.5,5.5,6.15,5.6,5.6,5.5,3.8000000000000003,5.4,6.0,2.0,2.0,2.0
Assam,21.23333333333333,9.7,12.6,3.45,5.05,0.5,2.7,2.7,31.183333333333334,39.85,6.35,3.8,3.0,9.0,3.2,4.0,5.3,6.8,6.0,6.3,7.0,3.4,5.8,7.0,7.0,7.0,6.5
Bihar,29.049999999999997,38.3,31.3,28.200000000000003,32.4,32.900000000000006,40.2,37.6,41.7,53.1,17.5,20.2,18.2,9.0,10.0,10.7,9.6,9.0,6.9,3.8,5.0,3.0,4.0,4.5,4.5,4.5,10.6
Chandigarh,4.949999999999999,4.3,4.3,9.5,4.35,11.3,6.45,6.4,5.05,6.5,6.5,6.5,7.4,9.0,4.0,4.0,4.0,5.2,5.3,5.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Chhattisgarh,4.55,4.233333333333333,4.75,9.4,9.3,8.4,9.0125,14.1,15.0,13.0,13.2,12.45,12.4,9.0,13.1,13.0,13.3,13.6,13.95,13.5,13.0,12.0,11.0,11.0,11.0,11.0,12.8
Dadra & Nagar Haveli,4.1499999999999995,4.166666666666666,5.2,5.2,5.35,5.5,11.575,14.733333333333333,15.066666666666666,14.466666666666667,14.116666666666665,12.466666666666667,11.85,9.0,10.733333333333333,11.333333333333334,11.8,10.6,9.7,8.5,7.0,7.5,7.6,8.333333333333334,8.666666666666666,16.0,8.3
Daman & Diu,3.75,4.1,8.1,5.65,4.0,3.8,14.1375,15.366666666666667,15.133333333333333,15.933333333333332,15.033333333333333,12.483333333333333,11.3,9.0,8.366666666666667,9.666666666666666,10.3,10.6,9.6,7.3,7.0,7.5,7.65,5.666666666666667,6.333333333333333,14.0,7.6
Delhi,9.350000000000001,13.8,17.9,17.1,21.0,17.75,16.7,16.0,15.2,17.4,15.95,12.5,10.75,9.0,6.0,8.0,8.8,4.2,4.5,5.1,8.5,4.0,4.0,3.0,4.0,4.0,6.0
Goa,6.3,6.4,5.8,16.2,25.35,81.1,62.25,74.85,63.25,27.1,49.5,35.6,28.05,0.0,2.0,5.0,5.3,3.2,5.5,4.1,10.0,8.0,6.0,7.0,3.0,4.0,5.0
