YEAR,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,JAN-FEB,JUN-SEP,MAR,MAY,MAR-MAY,NOV,OCT,OCT-DEC,SEP
1901,993.8,26.1,285.6,1.2,31.8,26.5,237.8,77.7,64.3,700.9,11.1,37.3,78.6,5.4,38.6,48.8,123.4
1902,951.6,11.0,199.3,7.3,0.7,3.4,270.7,78.8,5.2,811.2,2.9,36.8,57.1,10.4,33.2,72.4,202.7
1903,1197.25,4.7,277.6,1.5,4.0,6.5,264.2,102.8,14.3,866.8,1.3,56.4,80.4,1.25,141.3,170.25,210.4
1904,982.2,6.3,184.3,3.8,3.0,3.2,273.0,120.6,9.8,714.1,16.3,61.1,110.0,4.1,76.2,91.4,135.6
1905,891.6,18.3,219.3,0.6,12.7,7.3,254.5,66.1,23.4,805.4,14.3,50.4,79.6,0.7,19.6,35.6,170.2
1906,1191.2,1.1,256.3,12.4,28.2,14.1,307.1,191.3,40.4,936.9,11.9,13.5,34.4,10.2,31.6,45.8,181.5
1907,998.5,50.7,267.8,4.1,24.5,4.5,203.9,118.0,31.2,742.3,19.2,12.7,107.2,3.6,7.6,17.8,94.7
1908,987.6,6.3,339.4,0.3,9.2,14.7,325.2,100.7,34.9,845.6,5.2,36.7,45.0,1.2,16.3,21.5,154.2
1909,1082.2,56.599999999999994,234.4,20.8,6.0,5.95,290.35,171.45,13.600000000000001,815.8499999999999,0.8,24.0,86.85,0.25,19.5,50.05,158.75
1910,1222.2,6.2,278.7,0.0,1.1,2.7,231.1,220.9,9.0,1021.8,2.1,28.6,47.0,21.7,103.0,136.4,230.5
1911,1113.9,3.2,176.3,0.4,0.3,3.5,158.1,158.0,7.3,639.5,18.9,18.7,64.7,38.9,62.9,113.2,174.4
1912,1118.5,20.4,264.4,0.5,12.0,2.1,333.5,62.6,23.4,810.6,2.9,33.6,53.6,46.5,22.8,85.5,126.7
1913,1000.2,8.0,205.8,15.8,13.4,0.6,261.8,201.6,35.9,741.4,9.6,68.2,93.0,2.5,43.7,89.2,119.5
1914,1107.5,23.6,220.4,6.8,8.5,0.1,351.3,161.3,9.4,971.5,8.0,53.2,85.4,10.7,22.8,45.7,212.8
1915,1199.6,18.9,229.6,2.4,23.5,15.4,228.5,149.7,44.4,854.8,40.9,26.7,102.7,13.0,99.7,130.1,185.1
1916,1230.7,16.1,322.85,0.0,8.2,0.0,257.6,241.2,8.2,1043.1,0.35,41.099999999999994,55.6,25.5,153.1,202.6,224.0
1917,1368.25,11.9,259.9,0.5,32.900000000000006,2.9,320.1,184.3,37.5,1114.3,15.5,63.2,104.75,1.7,156.5,206.0,302.2
1918,871.7,10.7,208.9,5.5,0.7,4.6,124.2,135.6,7.7,566.6,10.5,79.6,117.6,9.8,5.8,35.3,101.0
1919,1212.85,14.05,249.45,5.2,6.9,37.35,320.79999999999995,161.4,46.7,982.25,10.45,46.5,83.25,21.7,82.1,123.45,166.7
